Year,AlcoholConsumption,Age,Area
2010,11.3,15,Croatia
2011,11.2,15,Croatia
2012,11.1,15,Croatia
2013,10.6,15,Croatia
2014,10.3,15,Croatia
2015,10.2,15,Croatia
2016,10.3,15,Croatia
2017,10.2,15,Croatia
2018,10.1,15,Croatia
2019,10.1,15,Croatia
2020,9,15,Croatia
2010,8.6,15,United States
2011,8.7,15,United States
2012,8.9,15,United States
2013,8.8,15,United States
2014,8.8,15,United States
2015,8.8,15,United States
2016,8.9,15,United States
2017,8.9,15,United States
2018,8.9,15,United States
2019,9,15,United States
2020,9.2,15,United States
2021,9.5,15,United States
2010,10.3,15,Slovenia
2011,10.6,15,Slovenia
2012,11,15,Slovenia
2013,9.5,15,Slovenia
2014,10.9,15,Slovenia
2015,11.5,15,Slovenia
2016,10.5,15,Slovenia
2017,10.1,15,Slovenia
2018,10,15,Slovenia
2019,11.1,15,Slovenia
2020,9.8,15,Slovenia
2021,10.6,15,Slovenia
2022,10,15,Slovenia
2010,10.8,15,Denmark
2011,11,15,Denmark
2012,9.8,15,Denmark
2013,10,15,Denmark
2014,10.1,15,Denmark
2015,9.9,15,Denmark
2016,10,15,Denmark
2017,9.7,15,Denmark
2018,9.7,15,Denmark
2019,9.5,15,Denmark
2020,9.7,15,Denmark
2021,10.4,15,Denmark
2022,9.5,15,Denmark
2010,11.6,15,Germany
2011,11.3,15,Germany
2012,11.3,15,Germany
2013,11.1,15,Germany
2014,11.1,15,Germany
2015,11.1,15,Germany
2016,11,15,Germany
2017,10.9,15,Germany
2018,10.9,15,Germany
2019,10.6,15,Germany
2010,9.7,15,Finland
2011,9.8,15,Finland
2012,9.3,15,Finland
2013,9.1,15,Finland
2014,8.8,15,Finland
2015,8.5,15,Finland
2016,8.4,15,Finland
2017,8.4,15,Finland
2018,8.4,15,Finland
2019,8.2,15,Finland
2020,8.2,15,Finland
2021,8.1,15,Finland
2022,7.6,15,Finland
2010,9.8,15,Latvia
2011,10.1,15,Latvia
2012,10.2,15,Latvia
2013,10.4,15,Latvia
2014,10.6,15,Latvia
2015,10.8,15,Latvia
2016,11.3,15,Latvia
2017,10.9,15,Latvia
2018,11,15,Latvia
2019,11.6,15,Latvia
2020,12.1,15,Latvia
2021,12.2,15,Latvia
2022,11.9,15,Latvia
2010,7.2,15,South Africa
2011,7.3,15,South Africa
2012,7.5,15,South Africa
2013,7.5,15,South Africa
2014,7.5,15,South Africa
2015,7.5,15,South Africa
2016,7.4,15,South Africa
2017,7.3,15,South Africa
2018,7.4,15,South Africa
2019,7.4,15,South Africa
2020,5.7,15,South Africa
2010,12.3,15,France
2011,12.4,15,France
2012,12.2,15,France
2013,11.6,15,France
2014,12,15,France
2015,11.9,15,France
2016,11.7,15,France
2017,11.7,15,France
2018,11.6,15,France
2019,11.4,15,France
2020,10.4,15,France
2021,10.6,15,France
2022,10.8,15,France
2010,8.9,15,Korea
2011,8.9,15,Korea
2012,9,15,Korea
2013,8.7,15,Korea
2014,8.9,15,Korea
2015,9.1,15,Korea
2016,8.7,15,Korea
2017,8.7,15,Korea
2018,8.5,15,Korea
2019,8.3,15,Korea
2020,7.9,15,Korea
2021,7.7,15,Korea
2022,8,15,Korea
2010,11.9,15,Luxembourg
2011,11.8,15,Luxembourg
2012,11.8,15,Luxembourg
2013,11.4,15,Luxembourg
2014,11.6,15,Luxembourg
2015,11.5,15,Luxembourg
2016,11.4,15,Luxembourg
2017,11.3,15,Luxembourg
2018,11.1,15,Luxembourg
2019,11,15,Luxembourg
2010,10.4,15,Australia
2011,10.1,15,Australia
2012,10,15,Australia
2013,9.9,15,Australia
2014,9.8,15,Australia
2015,10.1,15,Australia
2016,10.1,15,Australia
2017,10.2,15,Australia
2018,10.3,15,Australia
2019,10.1,15,Australia
2010,6.8,15,Iceland
2011,6.8,15,Iceland
2012,6.8,15,Iceland
2013,6.8,15,Iceland
2014,7,15,Iceland
2015,7.7,15,Iceland
2016,7.5,15,Iceland
2017,7.7,15,Iceland
2018,7.7,15,Iceland
2019,7.4,15,Iceland
2020,7.4,15,Iceland
2010,8.5,15,Ukraine
2011,8.4,15,Ukraine
2012,8.7,15,Ukraine
2013,8.3,15,Ukraine
2014,7.5,15,Ukraine
2015,6.5,15,Ukraine
2016,5.7,15,Ukraine
2017,5.5,15,Ukraine
2018,5.5,15,Ukraine
2019,5.5,15,Ukraine
2020,6.1,15,Ukraine
2010,2.7,15,India
2011,2.9,15,India
2012,3,15,India
2013,3,15,India
2014,3,15,India
2015,3,15,India
2016,2.9,15,India
2017,2.9,15,India
2018,3,15,India
2019,3,15,India
2020,2.4,15,India
2010,11.4,15,Estonia
2011,12,15,Estonia
2012,12.1,15,Estonia
2013,11.9,15,Estonia
2014,11.1,15,Estonia
2015,10.6,15,Estonia
2016,10.2,15,Estonia
2017,10.3,15,Estonia
2018,10,15,Estonia
2019,10.4,15,Estonia
2020,10.8,15,Estonia
2021,11.1,15,Estonia
2022,11.2,15,Estonia
2010,1.5,15,Türkiye
2011,1.5,15,Türkiye
2012,1.6,15,Türkiye
2013,1.4,15,Türkiye
2014,1.5,15,Türkiye
2015,1.4,15,Türkiye
2016,1.3,15,Türkiye
2017,1.4,15,Türkiye
2018,1.4,15,Türkiye
2019,1.3,15,Türkiye
2020,1.2,15,Türkiye
2021,1.4,15,Türkiye
2022,1.6,15,Türkiye
2010,10.3,15,Belgium
2011,10.1,15,Belgium
2012,10.1,15,Belgium
2013,10.3,15,Belgium
2014,10.6,15,Belgium
2015,10.4,15,Belgium
2016,9.4,15,Belgium
2017,9.3,15,Belgium
2018,9.2,15,Belgium
2019,9.2,15,Belgium
2010,9.1,15,Netherlands
2011,9,15,Netherlands
2012,9.1,15,Netherlands
2013,8.7,15,Netherlands
2014,8.4,15,Netherlands
2015,8.3,15,Netherlands
2016,8.2,15,Netherlands
2017,8.3,15,Netherlands
2018,8.3,15,Netherlands
2019,8.2,15,Netherlands
2020,7.8,15,Netherlands
2021,8.2,15,Netherlands
2022,8.5,15,Netherlands
2010,7.6,15,Chile
2011,7.1,15,Chile
2012,8.3,15,Chile
2013,7.2,15,Chile
2014,7.9,15,Chile
2015,7.9,15,Chile
2016,6.4,15,Chile
2017,5.7,15,Chile
2018,6.3,15,Chile
2019,7.1,15,Chile
2010,5.7,15,Peru
2011,6.2,15,Peru
2012,6.2,15,Peru
2013,6.1,15,Peru
2014,5.9,15,Peru
2015,5.7,15,Peru
2016,5.7,15,Peru
2017,5.7,15,Peru
2018,5.7,15,Peru
2019,5.7,15,Peru
2020,4.7,15,Peru
2010,8.5,15,Brazil
2011,8.6,15,Brazil
2012,8.4,15,Brazil
2013,8.3,15,Brazil
2014,9.2,15,Brazil
2015,9.2,15,Brazil
2016,9.7,15,Brazil
2017,9.2,15,Brazil
2018,9.4,15,Brazil
2019,9.8,15,Brazil
2020,9.8,15,Brazil
2010,10.8,15,Hungary
2011,11.4,15,Hungary
2012,11.1,15,Hungary
2013,10.6,15,Hungary
2014,10.9,15,Hungary
2015,10.8,15,Hungary
2016,11.1,15,Hungary
2017,10.7,15,Hungary
2018,11.4,15,Hungary
2019,10.7,15,Hungary
2020,10.4,15,Hungary
2021,10.5,15,Hungary
2022,10.6,15,Hungary
2010,4,15,Mexico
2011,4,15,Mexico
2012,3.9,15,Mexico
2013,3.8,15,Mexico
2014,4,15,Mexico
2015,4.3,15,Mexico
2016,4.4,15,Mexico
2017,4.7,15,Mexico
2018,4.8,15,Mexico
2019,4.9,15,Mexico
2020,4.2,15,Mexico
2021,5.1,15,Mexico
2010,11.6,15,Ireland
2011,11.7,15,Ireland
2012,11.5,15,Ireland
2013,10.6,15,Ireland
2014,10.8,15,Ireland
2015,10.7,15,Ireland
2016,11.2,15,Ireland
2017,11,15,Ireland
2018,11,15,Ireland
2019,10.8,15,Ireland
2020,10.1,15,Ireland
2021,9.5,15,Ireland
2022,10.2,15,Ireland
2023,9.9,15,Ireland
2010,3.7,15,Costa Rica
2011,3.3,15,Costa Rica
2012,3.2,15,Costa Rica
2013,3.1,15,Costa Rica
2014,3.2,15,Costa Rica
2015,3.2,15,Costa Rica
2016,3.4,15,Costa Rica
2017,3.3,15,Costa Rica
2018,3.3,15,Costa Rica
2019,3.1,15,Costa Rica
2020,3.2,15,Costa Rica
2021,3.6,15,Costa Rica
2022,3.5,15,Costa Rica
2023,3.4,15,Costa Rica
2010,12.1,15,Austria
2011,11.9,15,Austria
2012,12.1,15,Austria
2013,11.9,15,Austria
2014,12.2,15,Austria
2015,11.2,15,Austria
2016,11.4,15,Austria
2017,11.3,15,Austria
2018,11.3,15,Austria
2019,11.6,15,Austria
2020,11.3,15,Austria
2021,11.1,15,Austria
2022,11.6,15,Austria
2010,2.8,15,Israel
2011,2.8,15,Israel
2012,2.9,15,Israel
2013,2.9,15,Israel
2014,2.7,15,Israel
2015,2.7,15,Israel
2016,2.7,15,Israel
2017,2.9,15,Israel
2018,3,15,Israel
2019,3.1,15,Israel
2010,4.2,15,Colombia
2011,4.3,15,Colombia
2012,4.4,15,Colombia
2013,4.3,15,Colombia
2014,4.2,15,Colombia
2015,4.2,15,Colombia
2016,4.5,15,Colombia
2017,4.2,15,Colombia
2018,4.2,15,Colombia
2019,4.1,15,Colombia
2010,8.3,15,Greece
2011,7.5,15,Greece
2012,7.6,15,Greece
2013,7.6,15,Greece
2014,7.1,15,Greece
2015,6.7,15,Greece
2016,6.7,15,Greece
2017,6.7,15,Greece
2018,6.5,15,Greece
2019,6.3,15,Greece
2010,6.6,15,Norway
2011,6.4,15,Norway
2012,6.2,15,Norway
2013,6.2,15,Norway
2014,6.1,15,Norway
2015,6,15,Norway
2016,6,15,Norway
2017,6,15,Norway
2018,6,15,Norway
2019,6.1,15,Norway
2020,7.2,15,Norway
2021,7.4,15,Norway
2022,6.6,15,Norway
2010,7.3,15,Argentina
2011,7.7,15,Argentina
2012,8,15,Argentina
2013,8.1,15,Argentina
2014,8.2,15,Argentina
2015,8.2,15,Argentina
2016,8.2,15,Argentina
2017,7.9,15,Argentina
2018,7.6,15,Argentina
2019,7.6,15,Argentina
2020,7.6,15,Argentina
2010,0.1,15,Indonesia
2011,0.1,15,Indonesia
2012,0.1,15,Indonesia
2013,0.1,15,Indonesia
2014,0.1,15,Indonesia
2015,0.1,15,Indonesia
2016,0.1,15,Indonesia
2017,0.1,15,Indonesia
2018,0.1,15,Indonesia
2019,0.1,15,Indonesia
2020,0.1,15,Indonesia
2010,9.9,15,Romania
2011,9.5,15,Romania
2012,9.6,15,Romania
2013,9.6,15,Romania
2014,9.5,15,Romania
2015,9.4,15,Romania
2016,9.5,15,Romania
2017,10.2,15,Romania
2018,10.9,15,Romania
2019,10.8,15,Romania
2020,10.3,15,Romania
2021,11.5,15,Romania
2022,11.6,15,Romania
2010,11.4,15,Czechia
2011,11.5,15,Czechia
2012,11.6,15,Czechia
2013,11.5,15,Czechia
2014,11.9,15,Czechia
2015,11.5,15,Czechia
2016,11.7,15,Czechia
2017,11.6,15,Czechia
2018,11.8,15,Czechia
2019,11.9,15,Czechia
2020,11.6,15,Czechia
2021,11.6,15,Czechia
2022,11.6,15,Czechia
2010,9.8,15,Spain
2011,9.6,15,Spain
2012,9.4,15,Spain
2013,9.2,15,Spain
2014,9.5,15,Spain
2015,10.4,15,Spain
2016,10.9,15,Spain
2017,10.9,15,Spain
2018,10.4,15,Spain
2019,10.7,15,Spain
2020,8.7,15,Spain
2021,10.4,15,Spain
2022,11.8,15,Spain
2010,4.8,15,China (People’s Republic of)
2011,5.4,15,China (People’s Republic of)
2012,5.9,15,China (People’s Republic of)
2013,6.1,15,China (People’s Republic of)
2014,6.2,15,China (People’s Republic of)
2015,6.3,15,China (People’s Republic of)
2016,6.2,15,China (People’s Republic of)
2017,5.5,15,China (People’s Republic of)
2018,4.8,15,China (People’s Republic of)
2019,4.8,15,China (People’s Republic of)
2020,3.7,15,China (People’s Republic of)
2010,7,15,Italy
2011,7,15,Italy
2012,7.5,15,Italy
2013,7.4,15,Italy
2014,7.6,15,Italy
2015,7.1,15,Italy
2016,7.1,15,Italy
2017,7.4,15,Italy
2018,7.8,15,Italy
2019,7.7,15,Italy
2010,7.3,15,Japan
2011,7.3,15,Japan
2012,7.2,15,Japan
2013,7.4,15,Japan
2014,7.1,15,Japan
2015,7.2,15,Japan
2016,7.2,15,Japan
2017,7.2,15,Japan
2018,7.2,15,Japan
2019,7.1,15,Japan
2020,6.7,15,Japan
2021,6.6,15,Japan
2022,6.8,15,Japan
2010,10.1,15,Slovak Republic
2011,10.2,15,Slovak Republic
2012,10.1,15,Slovak Republic
2013,9.9,15,Slovak Republic
2014,10.1,15,Slovak Republic
2015,10.2,15,Slovak Republic
2016,9.9,15,Slovak Republic
2017,9.7,15,Slovak Republic
2018,10.1,15,Slovak Republic
2019,10.3,15,Slovak Republic
2020,10.2,15,Slovak Republic
2021,9.6,15,Slovak Republic
2022,9.5,15,Slovak Republic
2010,13.5,15,Lithuania
2011,14.7,15,Lithuania
2012,14.7,15,Lithuania
2013,14.5,15,Lithuania
2014,14.2,15,Lithuania
2015,14,15,Lithuania
2016,13.2,15,Lithuania
2017,12.3,15,Lithuania
2018,11.2,15,Lithuania
2019,11.1,15,Lithuania
2020,11.4,15,Lithuania
2021,12.1,15,Lithuania
2022,11.2,15,Lithuania
2010,11.3,15,Portugal
2011,10.9,15,Portugal
2012,9.8,15,Portugal
2013,9.5,15,Portugal
2014,10.2,15,Portugal
2015,10.3,15,Portugal
2016,10.4,15,Portugal
2017,10.4,15,Portugal
2018,10.4,15,Portugal
2019,10.4,15,Portugal
2010,8.4,15,Canada
2011,8.2,15,Canada
2012,8.3,15,Canada
2013,8.2,15,Canada
2014,8,15,Canada
2015,8,15,Canada
2016,8.1,15,Canada
2017,8.2,15,Canada
2018,8.2,15,Canada
2019,8,15,Canada
2020,8.1,15,Canada
2021,8.3,15,Canada
2022,8.1,15,Canada
2010,7.4,15,Sweden
2011,7.3,15,Sweden
2012,7.2,15,Sweden
2013,7.3,15,Sweden
2014,7.2,15,Sweden
2015,7.1,15,Sweden
2016,7.2,15,Sweden
2017,7,15,Sweden
2018,7.2,15,Sweden
2019,7.1,15,Sweden
2020,7.5,15,Sweden
2021,7.6,15,Sweden
2022,7.5,15,Sweden
2010,10.1,15,United Kingdom
2011,9.9,15,United Kingdom
2012,9.6,15,United Kingdom
2013,9.4,15,United Kingdom
2014,9.4,15,United Kingdom
2015,9.5,15,United Kingdom
2016,9.5,15,United Kingdom
2017,9.7,15,United Kingdom
2018,9.8,15,United Kingdom
2019,9.7,15,United Kingdom
2020,9.7,15,United Kingdom
2021,10,15,United Kingdom
2022,9.9,15,United Kingdom
2010,10,15,Poland
2011,10.3,15,Poland
2012,10.2,15,Poland
2013,10.8,15,Poland
2014,10.5,15,Poland
2015,10.5,15,Poland
2016,10.5,15,Poland
2017,10.6,15,Poland
2018,10.7,15,Poland
2019,11,15,Poland
2020,10.9,15,Poland
2021,11,15,Poland
2010,10,15,Bulgaria
2011,10.2,15,Bulgaria
2012,10.4,15,Bulgaria
2013,10.5,15,Bulgaria
2014,10.6,15,Bulgaria
2015,10.9,15,Bulgaria
2016,11.1,15,Bulgaria
2017,11.3,15,Bulgaria
2018,11.4,15,Bulgaria
2019,11.4,15,Bulgaria
2020,11.1,15,Bulgaria
2010,9.6,15,New Zealand
2011,9.5,15,New Zealand
2012,9.2,15,New Zealand
2013,9.2,15,New Zealand
2014,9.1,15,New Zealand
2015,8.7,15,New Zealand
2016,8.9,15,New Zealand
2017,8.8,15,New Zealand
2018,8.8,15,New Zealand
2019,8.8,15,New Zealand
2020,8.7,15,New Zealand
2021,8.8,15,New Zealand
2022,8.7,15,New Zealand
2023,8.2,15,New Zealand
2010,9.7,15,Switzerland
2011,9.5,15,Switzerland
2012,9.3,15,Switzerland
2013,9.3,15,Switzerland
2014,9.1,15,Switzerland
2015,8.9,15,Switzerland
2016,8.7,15,Switzerland
2017,8.6,15,Switzerland
2018,8.5,15,Switzerland
2019,8.7,15,Switzerland
2020,8.5,15,Switzerland
2021,8.5,15,Switzerland
2022,8.4,15,Switzerland
